community_id,total_doctors_in_community,total_orgs_in_community,total_shared_doctors_in_community,zip,cty,st,lat,long
62,6560,249,794,70816,BATON ROUGE,LA,30.425791,-91.03815
63,1625,54,214,02190,WEYMOUTH,MA,42.1711,-70.94597
64,6405,217,826,79106,AMARILLO,TX,35.204652,-101.88353
65,11107,256,985,34239,SARASOTA,FL,27.310924,-82.5213
66,1733,76,232,80538,LOVELAND,CO,40.435645,-105.08726
67,4325,134,490,02886,WARWICK,RI,41.705478,-71.45119
68,1463,68,381,08901,NEW BRUNSWICK,NJ,40.488304,-74.44775
69,617,56,135,08816,EAST BRUNSWICK,NJ,40.434239,-74.40504
70,828,26,49,98004,BELLEVUE,WA,47.618371,-122.20308
71,16716,289,791,98405,TACOMA,WA,47.248953,-122.46599
72,5571,143,516,43212,COLUMBUS,OH,39.988114,-83.04268
73,5561,254,507,42003,PADUCAH,KY,37.044233,-88.59046
74,4226,129,624,14221,WILLIAMSVILLE,NY,42.977456,-78.73356
75,645,45,82,20190,RESTON,VA,38.959673,-77.3462
76,4045,127,437,24551,FOREST,VA,37.366744,-79.29977
77,7564,262,712,64012,BELTON,MO,38.810856,-94.53201
78,3427,93,187,23462,VIRGINIA BEACH,VA,36.839648,-76.15177
79,3425,145,382,07039,LIVINGSTON,NJ,40.788733,-74.32134
80,2901,116,257,07002,BAYONNE,NJ,40.666552,-74.11768
81,1331,101,142,10029,NEW YORK,NY,40.791586,-73.94575
82,391,64,63,91607,VALLEY VILLAGE,CA,34.165706,-118.39986
83,4,2,3,12033,CASTLETON,NY,42.534631,-73.71327
84,8184,165,448,11563,LYNBROOK,NY,40.656974,-73.67306
85,557,17,87,16947,TROY,PA,41.759353,-76.80388
86,1362,59,282,97701,BEND,OR,44.091256,-121.29769
87,4638,182,425,72205,LITTLE ROCK,AR,34.752391,-92.3355
88,3463,119,230,31324,RICHMOND HILL,GA,31.906365,-81.3108
89,1308,30,183,10465,BRONX,NY,40.825727,-73.81752
90,461,28,84,19111,PHILADELPHIA,PA,40.057661,-75.08018
91,1294,36,226,32792,WINTER PARK,FL,28.607077,-81.30606
92,19,2,1,74120,TULSA,OK,36.151143,-95.97747
93,2395,124,396,60160,MELROSE PARK,IL,41.89988,-87.85978
94,1876,44,156,64063,LEES SUMMIT,MO,38.913857,-94.36397
95,597,32,94,61614,PEORIA,IL,40.755343,-89.59799
96,2875,108,252,41503,SOUTH WILLIAMSON,KY,37.67059,-82.28465
97,1508,80,209,78229,SAN ANTONIO,TX,29.499454,-98.57166
98,831,50,155,46804,FORT WAYNE,IN,41.054247,-85.23878
99,670,28,116,48661,WEST BRANCH,MI,44.288158,-84.21162
100,3575,70,282,20176,LEESBURG,VA,39.138978,-77.54519
101,598,34,119,20744,FORT WASHINGTON,MD,38.756347,-76.99034
102,6395,132,416,21061,GLEN BURNIE,MD,39.164158,-76.6306
103,2188,99,173,15136,MC KEES ROCKS,PA,40.471618,-80.07695
104,2076,125,397,91910,CHULA VISTA,CA,32.638654,-117.06686
105,1476,67,140,03820,DOVER,NH,43.190984,-70.88787
106,6882,179,624,84047,COTTONWOOD HEIGHTS,UT,40.614997,-111.88704
107,1322,16,602,96734,KAILUA,HI,21.3949,-157.74529
108,3324,82,609,14618,ROCHESTER,NY,43.116713,-77.55904
109,673,57,107,78404,CORPUS CHRISTI,TX,27.770056,-97.4001
110,4942,167,333,79106,AMARILLO,TX,35.204652,-101.88353
111,3427,148,286,94102,SAN FRANCISCO,CA,37.779329,-122.41915
112,810,34,120,89406,FALLON,NV,39.461072,-118.69306
113,6658,92,406,94558,NAPA,CA,38.337243,-122.30027
114,9028,88,240,95008,CAMPBELL,CA,37.278843,-121.95446
115,2839,35,781,94118,SAN FRANCISCO,CA,37.782029,-122.46158
116,7036,150,617,03820,DOVER,NH,43.190984,-70.88787
117,1088,48,122,85013,PHOENIX,AZ,33.50711,-112.08483
118,13241,276,724,93534,LANCASTER,CA,34.698696,-118.15015
119,871,44,69,94589,VALLEJO,CA,38.152068,-122.25074
120,1160,47,247,95008,CAMPBELL,CA,37.278843,-121.95446
121,596,49,99,95687,VACAVILLE,CA,38.34401,-121.95333
122,558,22,187,94578,SAN LEANDRO,CA,37.703427,-122.128
123,2621,85,187,34744,KISSIMMEE,FL,28.308979,-81.37594
124,1364,59,200,80210,DENVER,CO,39.679437,-104.96473
125,2980,55,296,55422,GOLDEN VALLEY,MN,45.014764,-93.33965
126,7755,26,597,85260,SCOTTSDALE,AZ,33.606004,-111.88699
127,2036,60,229,54401,WAUSAU,WI,44.958382,-89.6693
128,2933,87,346,55720,CLOQUET,MN,46.727077,-92.48612
129,2879,78,213,46304,CHESTERTON,IN,41.616263,-87.05883
130,3127,135,657,79106,AMARILLO,TX,35.204652,-101.88353
131,1024,37,88,97759,SISTERS,OR,44.322689,-121.54897
132,2974,97,447,57105,SIOUX FALLS,SD,43.525226,-96.73297
133,832,26,189,62207,CENTREVILLE,IL,38.59035,-90.13276
134,2003,61,235,54301,GREEN BAY,WI,44.489059,-88.01674
135,1336,49,110,82701,NEWCASTLE,WY,43.738237,-104.44387
136,682,31,96,54401,WAUSAU,WI,44.958382,-89.6693
137,1348,107,182,40601,FRANKFORT,KY,38.201649,-84.86935
138,1975,70,133,40202,LOUISVILLE,KY,38.252854,-85.75137
139,8,2,1,33625,TAMPA,FL,28.069755,-82.55734
140,6595,181,886,06708,WATERBURY,CT,41.551601,-73.06262
141,5992,92,467,06706,WATERBURY,CT,41.537896,-73.02827
142,915,75,91,11691,FAR ROCKAWAY,NY,40.60002,-73.75962
143,1484,44,207,10601,WHITE PLAINS,NY,41.032489,-73.76454
144,2329,91,142,07901,SUMMIT,NJ,40.714501,-74.3633
145,149,12,59,06112,HARTFORD,CT,41.793299,-72.6954
146,1189,59,96,30120,CARTERSVILLE,GA,34.167327,-84.82764
147,864,72,90,89106,LAS VEGAS,NV,36.184219,-115.16292
148,3156,113,458,14221,BUFFALO,NY,42.977456,-78.73356
149,1460,71,149,93105,SANTSA BARBARA,CA,34.44005,-119.75496
150,1452,102,119,93545,LONE PINE,CA,36.589514,-118.07367
151,848,30,168,75110,CORSICANA,TX,32.078228,-96.44612
152,4698,129,338,80920,COLORADO SPRINGS,CO,38.952366,-104.76701
153,1950,136,219,68787,WAYNE,NE,42.221382,-97.03303
154,4503,168,467,68106,OMAHA,NE,41.242313,-95.99897
155,1640,60,120,93534,LANCASTER,CA,34.698696,-118.15015
156,1426,115,134,78224,SAN ANTONIO,TX,29.333436,-98.53934
157,1283,80,239,92311,BARSTOW,CA,34.894181,-117.03636
