source_npi,target_npi,sharedpats,community_id
3552796390,7816199854,2,
3552796390,7822428921,2,
3552796390,8077073780,3,
3552796390,8107789874,2,4
3552796390,8155444621,7,
3552796390,8198589276,3,
3552796390,8207875465,5,
3552796390,8264711712,2,4
3552796390,8461982462,9,
3552796390,8565171318,3,
3552796390,8710318514,3,
3552796390,8741888747,2,4
3552796390,8838227921,2,4
3552796390,9022394157,2,4
3552796390,9360730204,2,4
3552796390,9496251637,2,4
3552796390,9583822818,2,4
3552796390,9666274939,2,
3552796390,9692316785,7,4
3552796390,9779730177,3,4
3552796390,9897025171,2,4
3552796390,9900572834,5,
3552796390,9955394505,2,4
7481398045,0026276265,2,3
7481398045,0162137630,2,
7481398045,0250584036,4,
7481398045,0357978237,2,
7481398045,0426619309,2,
7481398045,1216121950,2,3
7481398045,1308731628,2,
7481398045,1323185717,2,
7481398045,2150853459,2,
7481398045,2199246172,2,
7481398045,2329429575,3,
7481398045,2484358033,5,
7481398045,2866295111,4,
7481398045,2946386194,2,
7481398045,3177196045,7,
7481398045,3204358873,2,
7481398045,3265059745,2,
7481398045,3314032528,2,
7481398045,3385508974,2,3
7481398045,3552796390,20,
7481398045,3733829210,2,
7481398045,3934799052,2,3
7481398045,4023883735,2,3
7481398045,4142990030,2,
7481398045,4277668876,3,3
7481398045,4482363487,9,
7481398045,4628017491,2,3
7481398045,4706802724,4,
7481398045,4969363624,2,
7481398045,5038386362,2,
7481398045,5111491524,13,3
7481398045,5112705256,2,
7481398045,5312705563,2,
7481398045,5478815811,2,3
7481398045,5730655270,2,
7481398045,6027867186,7,
7481398045,6207630138,4,
7481398045,6578545140,2,3
7481398045,6585316279,4,
7481398045,6889915655,2,3
7481398045,7519076758,2,3
7481398045,8027038745,3,3
7481398045,8077073780,2,
7481398045,8461982462,3,
7481398045,8567804264,2,3
7481398045,8572020678,4,
7481398045,8710318514,4,
7481398045,9127235965,4,
7481398045,9692316785,3,
7481398045,9900572834,2,
0011809664,6121205867,2,5
0014737323,3779248699,2,6
0014737323,8877469710,2,6
3779248699,0848364905,2,6
3779248699,1244074195,2,6
8877469710,3779248699,2,6
8877469710,5554267915,2,
0016071950,0847389377,2,7
0016071950,5512727669,3,7
5512727669,0016071950,2,7
5512727669,0285782376,2,7
5512727669,0435739211,2,7
5512727669,0609890702,2,7
5512727669,0970461853,2,7
5512727669,1670227829,2,7
5512727669,8207899456,4,
5512727669,8343341619,2,7
0032016756,0406571902,2,8
0032016756,1810939522,2,8
0032016756,9296200223,2,8
1810939522,0032016756,2,8
0038180756,2761415286,2,9
0038180756,3068707084,2,9
3068707084,0038180756,2,9
0039611603,8302896771,2,10
8302896771,8437715502,2,10
0049880119,3204358873,2,11
3204358873,3077436761,2,
3204358873,3177196045,5,11
3204358873,4482363487,5,11
3204358873,6027867186,2,
3204358873,6938614079,3,11
3204358873,7481398045,2,
3204358873,8926674992,5,11
0050391476,5333459575,2,12
5333459575,4213901848,2,12
0051157642,0408866899,2,13
0054523386,9788022287,2,14
0064311251,8411898039,2,15
8411898039,0064311251,2,15
8411898039,0142416568,3,15
8411898039,0221879748,2,15
8411898039,0228285138,2,15
8411898039,0676719924,2,
8411898039,0888901330,8,
8411898039,1103891158,2,
8411898039,1256684163,2,
8411898039,1334390599,2,15
8411898039,1539365501,2,15
8411898039,1821952575,2,15
8411898039,1963151191,2,15
8411898039,2052541087,2,
8411898039,2079109206,2,15
8411898039,2503159927,16,15
8411898039,2576377891,3,15
8411898039,2687879420,2,15
8411898039,2866295111,2,
8411898039,3265059745,3,
8411898039,3418977620,2,15
8411898039,3588184362,2,15
8411898039,4106847566,2,15
8411898039,4276416490,2,15
8411898039,4445485339,2,15
8411898039,5333645593,4,15
8411898039,5497797753,2,15
8411898039,5544167969,3,15
8411898039,5554267915,2,
8411898039,5734403746,3,
8411898039,5826924930,2,15
8411898039,5954709838,2,15
8411898039,6012390905,2,15
8411898039,6079817514,2,15
8411898039,6964376995,2,15
8411898039,7087295365,2,15
8411898039,7279337065,2,15
8411898039,7961400834,3,
8411898039,8054245075,3,15
8411898039,8207899456,2,
