npi,pagerank,indegree,outdegree,community_id,doctor_self_pats,total_pats_in_community,total_doctors_in_community,total_links_in_community
6824721836,9.575310360366277e-05,1.0,0.0,43,2,191,40,74
9203949653,9.575310360366277e-05,1.0,0.0,43,2,191,40,74
5218340295,5.4835346227487394e-05,0.0,1.0,72,2,944,78,86
5225762960,7.821066187343515e-05,1.0,2.0,112,3,18,10,14
5227251357,5.4835346227487394e-05,0.0,1.0,81,2,623,129,423
5228956861,5.4835346227487394e-05,0.0,4.0,134,4,35,13,18
5234977176,5.4835346227487394e-05,0.0,1.0,25,2,348,105,268
5235639319,5.4835346227487394e-05,0.0,1.0,298,2,2,2,1
1300577252,0.00010158597751938291,1.0,0.0,298,2,2,2,1
5236334034,5.4835346227487394e-05,0.0,1.0,204,4,16,8,8
5242241739,5.4835346227487394e-05,0.0,1.0,72,3,944,78,86
5245518272,5.4835346227487394e-05,0.0,1.0,6,4,530,36,46
5249923102,5.4835346227487394e-05,0.0,3.0,36,4,334,45,106
5254717290,5.4835346227487394e-05,0.0,2.0,159,2,13,10,20
0519576352,0.00011158397284130813,2.0,0.0,14,2,382,100,300
6905577418,8.239687067410678e-05,2.0,0.0,163,3,55,20,73
8358279661,0.00010982330593460954,3.0,13.0,163,7,55,20,73
5259889180,5.4835346227487394e-05,0.0,1.0,22,2,500,61,114
0857607429,0.00013836561705340923,4.0,0.0,110,2,212,26,36
8022849479,6.804976630553759e-05,1.0,0.0,110,2,212,26,36
5265265905,5.4835346227487394e-05,0.0,1.0,34,4,405,73,292
5268182584,5.4835346227487394e-05,0.0,5.0,37,3,34,25,62
5272730134,5.4835346227487394e-05,0.0,1.0,103,4,156,42,57
9451675968,0.00010158597751938291,1.0,4.0,103,5,156,42,57
5273125132,5.4835346227487394e-05,0.0,1.0,81,11,623,129,423
6052903246,0.00010158597751938291,1.0,1.0,81,20,623,129,423
5286248421,5.4835346227487394e-05,0.0,3.0,81,3,623,129,423
5948016473,7.041888999145257e-05,1.0,0.0,81,2,623,129,423
5287307889,5.4835346227487394e-05,0.0,7.0,69,2,244,31,106
5294370770,5.4835346227487394e-05,0.0,1.0,299,5,21,2,1
1389645516,0.00010158597751938291,1.0,0.0,299,18,21,2,1
5297524824,7.821066187343515e-05,1.0,1.0,12,2,90,49,208
5298527239,5.4835346227487394e-05,0.0,1.0,89,2,684,150,427
5299137046,5.4835346227487394e-05,0.0,4.0,53,2,12,15,21
5300229166,5.7757260683230864e-05,1.0,1.0,62,3,304,33,58
5300532907,5.4835346227487394e-05,0.0,1.0,20,4,279,61,167
5307477305,5.4835346227487394e-05,0.0,1.0,47,6,349,24,28
5312866207,5.4835346227487394e-05,0.0,1.0,37,2,34,25,62
5313888311,5.4835346227487394e-05,0.0,1.0,89,3,684,150,427
5327754228,5.4835346227487394e-05,0.0,1.0,9,10,221,26,43
5328199842,5.4835346227487394e-05,0.0,4.0,43,2,191,40,74
5331034141,5.4835346227487394e-05,0.0,1.0,300,4,5,2,1
4653050612,0.00010158597751938291,1.0,0.0,300,3,5,2,1
5333303872,5.4835346227487394e-05,0.0,3.0,29,2,200,46,79
5333459575,5.4835346227487394e-05,0.0,1.0,142,4,9,4,3
0358937620,9.333688740704977e-05,2.0,0.0,78,6,549,129,309
5544167969,9.987145409921206e-05,3.0,5.0,78,4,549,129,309
8386132278,0.00015001410443255935,5.0,8.0,78,9,549,129,309
5337010256,5.4835346227487394e-05,0.0,1.0,87,2,271,18,18
5339736829,5.4835346227487394e-05,0.0,1.0,41,7,447,78,229
5340522059,5.4835346227487394e-05,0.0,1.0,301,5,5,2,1
2156815581,0.00010158597751938291,1.0,0.0,301,2,5,2,1
5343708091,5.4835346227487394e-05,0.0,8.0,81,2,623,129,423
5346965880,5.4835346227487394e-05,0.0,5.0,25,3,348,105,268
5348980918,5.4835346227487394e-05,0.0,1.0,56,4,136,26,58
5351592667,5.4835346227487394e-05,0.0,1.0,302,2,2,2,1
2413777580,0.00010158597751938291,1.0,0.0,302,2,2,2,1
5354288250,0.00017935944479226723,3.0,2.0,1,8,279,73,120
5358666449,5.4835346227487394e-05,0.0,1.0,112,6,18,10,14
5359932996,5.4835346227487394e-05,0.0,1.0,86,2,646,48,54
5370159701,5.4835346227487394e-05,0.0,4.0,89,3,684,150,427
5371329717,5.4835346227487394e-05,0.0,1.0,67,2,447,53,72
5373507554,5.4835346227487394e-05,0.0,1.0,89,5,684,150,427
5377100056,5.4835346227487394e-05,0.0,1.0,61,2,635,56,68
5378774826,5.4835346227487394e-05,0.0,1.0,76,2,24,15,17
5379624136,5.4835346227487394e-05,0.0,2.0,37,3,34,25,62
5382334992,5.4835346227487394e-05,0.0,1.0,20,5,279,61,167
5384409998,5.4835346227487394e-05,0.0,1.0,67,2,447,53,72
5388375299,5.4835346227487394e-05,0.0,1.0,303,6,11,2,1
6763890560,0.00010158597751938291,1.0,0.0,303,7,11,2,1
5389336568,0.000118446463942189,2.0,2.0,54,3,177,85,299
5392953732,5.4835346227487394e-05,0.0,1.0,160,2,121,23,27
7456679040,0.00010158597751938291,1.0,1.0,160,6,121,23,27
5393082027,5.4835346227487394e-05,0.0,1.0,14,2,382,100,300
0531874984,0.00022173996754362528,3.0,0.0,15,2,100,56,195
6418486072,0.00021839878122700279,3.0,3.0,15,5,100,56,195
9003360549,7.3314604910673e-05,1.0,4.0,15,2,100,56,195
5406869512,5.4835346227487394e-05,0.0,1.0,304,3,4,2,1
5728119884,0.00010158597751938291,1.0,0.0,304,3,4,2,1
9325704187,0.00010968097914780626,1.0,0.0,27,5,333,60,127
5411615104,8.295735530753117e-05,1.0,2.0,74,2,185,57,264
